UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
AC,SENADOR GUIOMARD,POSTO DE SAUDE NABOR JUNIOR,PROJETO COLONIA PEIXOTO KM 80,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,CENTRO DE SAUDE ILSON ALVES RIBEIRO,RUA JAMIL BESTENE,S/N,NAIRE LEITE
AC,SENA MADUREIRA,UNIDADE DE SAUDE DA FAMILIA FLORIANO FLORENTINO M DA SILVA,RUA JOSE FELIX,49,BOM SUCESSO
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE MARIA DAS DORES DE PAULA,RUA ANTONIO CARLOS PEREIRA,S/N,CSU
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE FLORLIRIO PEREIRA LUSTOSA,AV ORLEIR CAMELI,S/N,ANA VIEIRA
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE RICIOTI TAMBURINI,TRAVESSA JURANDI NUNES,S/N,NITEROI
AC,SENA MADUREIRA,UBS ALDA SIQUEIRA,COMUNIDADE CAZUMBA RIO CAETE,S/N,ZONA RURAL
AC,SENA MADUREIRA,ESF MODULO I,AVENIDA AVELINO CHAVES,S/N,CENTRO
AC,SENA MADUREIRA,UBS RECIFE,SERINGAL RECIFE RIO IACO,S/N,ZONA RURAL
AC,SENA MADUREIRA,UBS COSMO GEBER,PROJETO FAVO DE MEL BR 364 RAMAL 23,S/N,ZONA RURAL
AC,SENA MADUREIRA,ESF MODULO II,AVENIDA AVELINO CHAVES,S/N,CENTRO
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE AGUINALDO NUNES DE OLIVEIRA,RUA ANTONIO NICACIO TEIXEIRA,S/N,PISTA
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE CARLOS AFONSO VIEIRA,RUA MOSENHOR TAVORA,S/N,CENTRO
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE LAURO FONTES DA SILVA,RUA MARANHAO,30,CIDADE NOVA
AC,SENA MADUREIRA,TENENTE ITAMAR PASCOAL,BR 364 KM 01,S/N,TRIANGULO
AC,SENA MADUREIRA,MANOEL FERNANDES VIEIRA,RUA CANARIO,S/N,EUGENIO AUGUSTO AREA
AC,SENA MADUREIRA,UBS JOVILIO ALVES,RIO CAETE COMUNIDADE BOCA DO CAETE,S/N,ZONA RURAL
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE EDSON SALES,RUA WALTER WILTON MAIA,596,CRISTO LIBERTADOR
AC,SENA MADUREIRA,UNIDADE BASICA DE SAUDE CARLOS AFONSO VIEIRA MODULO II,RUA CUNHA VASCONCELOS,S/N,CENTRO
AC,TARAUACA,POSTO DE SAUDE TAUARI,BR 364 SENTIDO TARAUACA CRUZEIRO SO SUL,S/N,BR 364
AC,TARAUACA,POSTO DE SAUDE SAO JOAO,BR 364 SENTIDO TARAUACA CRUZEIRO DO SUL,S/N,BR 364
AC,TARAUACA,POSTO DE SAUDE GREGORIO,BR 364 KM 102,S/N,GREGORIO
AC,TARAUACA,USF PADRE HUBERT GROSSHEIM,RUA BENJAMIM CONSTANT,S/N,CENTRO
AC,TARAUACA,UNIDADE DE S DA FAMILIA MARIA DA LUZ,RUA ANTONIO PINTO,245,SENADOR POMPEU
AC,TARAUACA,UNIDADE BASICA DE SAUDE JOAO WANDERLEI,RUA JUSTINIANO SERPA,91,CENTRO
AC,TARAUACA,POSTO DE SAUDE PORTO MARQUES,AV TANCREDO NEVES,S/N,CENTRO
AC,TARAUACA,UNIDADE DE S DA FAMILIA DR JOSE LEONCIO GOMES RODRIGUES,AV AVELINO LEAL,S/N,COPACABANA
AC,TARAUACA,UNIDADE DE SAUDE DA FAMILIA MARILIA VIEIRA LIMA DE SOUZA,RUA CEL PINHEIRO CAVALCANTE,1805,CORCOVADO
AC,TARAUACA,UNIDADE DE SAUDE DA FAMILIA 24 DE ABRIL,RUA EPITACIO PESSOA,S/N,IPEPACONHA
AC,TARAUACA,UNIDADE DE SAUDE DA FAMILIA MARIA ESPANHOL DA SILVA,RUA CAPITAO HIPOLITO,S/N,TRIANGULO
AC,TARAUACA,UNIDADE MOVEL DE SAUDE FLUVIAL DEZINHO,RIOS TARAUACA E MURU,S/N,TARAUACA
AC,TARAUACA,USF MARIA FRANCISCA DA COSTA CABRAL,RUA FLORIANO PEIXOTO,243,CENTRO
AC,XAPURI,UNIDADE DE SAUDE DA FAMILIA DR FELIX BESTENE NETO,RUA CORONEL BRANDAO,393,CENTRO
AC,XAPURI,UNIDADE SAUDE DA FAMILIA JOSE FADUL,RUA PETRONIO RODRIGUES,S/N,JIQUIA
AC,XAPURI,UNIDADE DE SAUDE DA FAMILIA MAURO JOSE LIMA DE SOUZA,RUA PLACIDO DE CASTRO,S/N,BRAGA SOBRINHO
AC,XAPURI,UNIDADE DE SAUDE DA FAMILIA JOSE RAIMUNDO DE MELO,RUA MARIA ROSA C DE DEUS,24,AEROPORTO
AC,XAPURI,UNIDADE DE SAUDE DA FAMILIA JOSE FRANCISCO SILVA,RUA DA CERAMICA,S/N,SIBERIA
AL,AGUA BRANCA,POSTO DE SAUDE DO ESTREITO,SITIO ESTREITO,S/N,ZONA RURAL
AL,AGUA BRANCA,UNIDADE DRA QUITERIA BEZERRA DE MELO,RUA PADRE EPIFANIO MOURA,S/N,CENTRO
AL,AGUA BRANCA,POSTO DE SAUDE LAGOA DAS PEDRAS,SITIO LAGOA DAS PEDRAS,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE TABULEIRO,POVOADO TABULEIRO,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE DA PAPATERRA,POVOADO PAPATERRA,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE ALTO DOS COELHOS,POVOADO ALTO DOS COELHOS,S/N,ZONA RURAL
AL,AGUA BRANCA,PACS OURICURI,POVOADO OURICURI,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE QUIXABEIRA,POVOADO QUIXABEIRA,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE DA SERRA DO CAVALO,POVOADO SERRA DO CAVALO,S/N,ZONA RURAL
AL,AGUA BRANCA,UNIDADE BASICA DE SAUDE ENOQUE GOMES,RODOVIA AL 145,S/N,CENTRO
AL,AGUA BRANCA,CENTRO DE SAUDE MUNICIPAL DE AGUA BRANCA,RUA NOSSA SENHORA DA CONCEICAO,S/N,BAIRRO NOVO
AL,AGUA BRANCA,POSTO DE SAUDE DE TINGUI,POVOADO TINGUI,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE BOQUEIRAO,POVOADO BOQUEIRAO,S/N,ZONA RURAL
AL,AGUA BRANCA,POSTO DE SAUDE VARZEA DO PICO,POVOADO VARZEA DO PICO,S/N,ZONA RURAL
AL,ANADIA,USF TABULEIRO,POVOADO TABULEIRO GRANDE,S/N,ZONA RURAL
AL,ANADIA,USF ISAURO FAUSTINO BARBOSA,RUA DO CRUZEIRO,S/N,CHA DA MANGABEIRA
AL,ANADIA,USF JOAQUINA BEZERRA DA COSTA,AV MOREIRA LIMA,S/N,CENTRO
AL,ANADIA,USF SERTAOZINHO,RUA DR HERMES DA FONSECA,S/N,SERTAOZINHO
AL,ANADIA,USF TAPERA,POVOADO TAPERA,S/N,ZONA RURAL
AL,ANADIA,USF CHA DA MANGABEIRA,RUA JOS FRANCISCO DE OLIVEIRA,S/N,CH DA MANGABEIRA
AL,ANADIA,POSTO DE SAUDE BREJO NOVO,POVOADO BREJO NOVO,S/N,ZONA RURAL
AL,ANADIA,UNIDADE MISTA SENADOR RUI PALMEIRA,TRAVESSA MOREIRA LIMA,S/N,CENTRO
AL,ANADIA,USF DUAS ESTRADAS,STIO DUAS ESTRADAS,S/N,ZONA RURAL
AL,ARAPIRACA,USF DR DANIEL HOULY,RUA SANTA RITA,S/N,BRASILIA
AL,ARAPIRACA,UNIDADE BASICA DE CACIMBAS DR JUDA FERNANDES LIMA,RUA VEREADOR BENICIO ALVES DE OLIVEIRA,395,CACIMBAS
AL,ARAPIRACA,II CENTRO,RUA EXPEDICIONARIOS BRASILEIROS,S/N,BAIXA GRANDE
AL,ARAPIRACA,USF VILA APARECIDA,POVOADO VILA APARECIDA,S/N,VILA APARECIDA
AL,ARAPIRACA,USF CAVACO DR JOSE FERNANDES,RUA JOSE MONTEIRO DA SILVA,S/N,CAVACO
AL,ARAPIRACA,USF BRISA DO LAGO FERNANDO LOURENCO,RUA PROJETADA,S/N,CAZUZINHOS
AL,ARAPIRACA,UBS JOAO PAULO II,RUA ENGENHEIRO CAMILO COLLIER,3,JOAO PAULO II
AL,ARAPIRACA,UBS VERDES CAMPOS,RUA JOSE CLEONILDES BARROS,S/N,VERDES CAMPOS
AL,ARAPIRACA,USF BOM SUCESSO,RUA ALVORADA,22,BOM SUCESSO
AL,ARAPIRACA,USF CARRASCO,SITIO CARRASCO,10,CARRASCO
AL,ARAPIRACA,UBS RIACHO SECO,RUA ANTONIO FELICIANO,1079,CANAFISTULA
AL,ARAPIRACA,USF POCAO ARAPIRACA,SITIO POCAO,S/N,SITIO POCAO
AL,ARAPIRACA,US JARDIM DAS PAINEIRAS,RUA ARAPIRACA,419,SENADOR NILO COELHO
AL,ARAPIRACA,USF BAIXAO,RUA SANTOS DUMONT,416,BAIXAO
AL,ARAPIRACA,V CENTRO DE SAUDE DR UBIRATAN PEDROZA,RUA GERALDO BARBOSA,60,CENTRO
AL,ARAPIRACA,I CENTRO DE SAUDE,RUA MUNIZ FALCAO,27,SAO LUIZ
AL,ARAPIRACA,UBS SENADOR ARNON DE MELO,RUA CLAUDECI GREGORIO DA SILVA,25,SENADOR ARNON DE MEL
AL,ARAPIRACA,UBS NILO COELHO MANOEL VALERIANO SOBRINHO,RUA FRANCELINO DE BRITO,S/N,NILO COELHO
AL,ARAPIRACA,USF BAIXA DA ONCA SERAPIAO DURVAL,POVOADO BAIXA DA ONCA,S/N,POV BAIXA DA ONCA
AL,ARAPIRACA,USF BOA VISTA,RUA LEONCIO SALU,S/N,BOA VISTA
AL,ARAPIRACA,USF BANANEIRAS,VILA BANANEIRAS,S/N,VILA BANANEIRAS
AL,ARAPIRACA,USF MANOEL TELES,RUA ANTONIO CAVALCANTE GAMA,140,MANOEL TELES
AL,ARAPIRACA,III CENTRO DE SAUDE,RUA JOSE JAILSON ALVES,S/N,SANTA EDWIGES
AL,ARAPIRACA,USF PELEVE VELHO BOMJARDIM,SITIO PELEVE VELHO,S/N,SITIO PELEVE VELHO
AL,ARAPIRACA,USF TEOTONIO VILELA,PRACA ANTONIO CAETANO,26,TEOTONIO VILELA
AL,ARAPIRACA,USF CAPIM,POVOADO CAPIM,S/N,CAPIM
AL,ARAPIRACA,USF COHAB NOVA,RUA PAO DE ACUCAR,90,PLANALTO
AL,ARAPIRACA,POSTO DE SAUDE LARANJAL,SITIO LARANJAL,S/N,LARANJAL
AL,ARAPIRACA,IV CENTRO DE SAUDE,RUA NOSSA SENHORA DA SALETE,1003,ITAPUA
AL,ARAPIRACA,UBS NOSSA SENHORA APARECIDA,CONJUNTO NOSSA SENHORA APARECIDA,S/N,SEMENTEIRA
AL,ARAPIRACA,USF BATINGAS,VILA BATINGAS,S/N,VILA BATINGAS
AL,ARAPIRACA,USF PRIMAVERA,RUA PEDRO ALVARES CABRAL,S/N,PRIMAVERA
AL,ARAPIRACA,USF VILA SAO JOSE,VILA SAO JOSE,S/N,VILA SAO JOSE
AL,ARAPIRACA,USF CANAFISTULA,RUA JOSE FERNANDES LOPES,S/N,CANAFISTULA
AL,ARAPIRACA,USF VILA SAO FRANCISCO,POVOADO VILA SAO FRANCISCO,S/N,VILA SAO FRANCISCO
AL,ARAPIRACA,USF ZELIA BARBOSA ROCHA DR EDLER LINS,RUA JOSE DE OLIVEIRA LIMA,S/N,CAVACO
AL,ARAPIRACA,USF PAU DARCO,POVOADO PAU DARCO,S/N,PAU D ARCO
AL,ARAPIRACA,USF CANAA,POVOADO CANAA,S/N,POVOADO CANAA
AL,ARAPIRACA,POSTO DE SAUDE FERNANDES PAU FERRO,POVOADO FERNANDES,S/N,POV FERNANDES
AL,ARAPIRACA,USF CANGANDU,VILA CANGANDU,S/N,CANGANDU
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA JOSE PAULINO,BAIRRO JOSE PAULINO,S/N,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA PORANGABA,POVOADO PORANGABA,21,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA JENIPAPEIRO,JENIPAPEIRO,11,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA CENTRO,RUA FRANKLIN ROOSEVELT,S/N,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA BOCA DA MATA,POVOADO BOCA DA MATA,S/N,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA OURICURI,POVOADO OURICURI,18,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA DOS ALTOS,ALTO JOAO MIRANDA,10,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA OLHOS DAGUA,POVOADO OLHOS DAGUA,20,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA SAPUCAIA,POVOADO SAPUCAIA,22,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA NOVA OLINDA,AVENIDA PARAIBA,S/N,NOVA OLINDA
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA RUA DE CIMA,RUA DE CIMA,S/N,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA SANTO ANTONIO,POVOADO SANTO ANTONIO,15,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA BRANCA II,RUA 15 DE NOVEMBRO,S/N,POVOADO BRANCA DE AT
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA BRANCA,BRANCA DE ATALAIA,S/N,CENTRO
AL,ATALAIA,UNIDADE SAUDE DA FAMILIA SANTA INES,BAIRRO SANTA INES,21,CENTRO
AL,BARRA DE SANTO ANTONIO,MEROVEU I,RUA MANOEL JOSE DE MELO,S/N,CENTRO
AL,BARRA DE SANTO ANTONIO,CENTRO DE SAUDE SAO SEBASTIAO,AV BENEDITO CASADO,S/N,BARRA I CENTRO
AL,BARRA DE SANTO ANTONIO,UNIDADE BASICA DE SAUDE SANTA LUZIA,RUA JOSE GALDINO,S/N,POV DE SANTA LUZIA
AL,BARRA DE SANTO ANTONIO,UNIDADE BASICA DE SAUDE NORMANDO BARBOSA OLIVEIRA,CONJUNTO ERNESTO MARANHAO AL 101 NORTE,S/N,CENTRO
AL,BARRA DE SANTO ANTONIO,UNIDADE BASICA DE SAUDE MARINETE BALTAZAR,RUA LUCIENE VIRGINIA DA ROCHA,S/N,BARRA 2
AL,BARRA DE SANTO ANTONIO,UNIDADE BASICA DE SAUDE AURORA DE NAZARET PEREIRA LEITE COST,RUA JOSE ARISTIDES DE MELO,S/N,CENTRO
AL,BARRA DE SAO MIGUEL,UNIDADE DE SAUDE DA FAMILIA I,RUA JOAO FLORENCIO,93,CENTRO
AL,BARRA DE SAO MIGUEL,POSTO SAUDE JOAO BATISTA,RUA DO JENIPAPO,S/N,LOTEAMENTO BARRA MAR
AL,BARRA DE SAO MIGUEL,UNIDADE DE SAUDE DA FAMILIA,LOT OUTEIRO,S/N,CENTRO
AL,BATALHA,POSTO DE SAUDE CAJA DOS NEGROS,POVOADO CAJA DOS NEGROS,S/N,ZONA RURAL
AL,BATALHA,EQUIPE SAUDE DA FAMILIA ESF VI,RUA PROJETADA,100,CENTRO
AL,BATALHA,UNIDADE ANTONIO VIEIRA FILHO,RUA JOSE PEREIRA DE MELO,S/N,CENTRO
AL,BATALHA,POSTO DE SAUDE DE CIMA,POVOADO SAUDE DE CIMA,S/N,ZONA RURAL
AL,BATALHA,POSTO DE SAUDE DO FUNIL,POVOADO FUNIL,S/N,ZONA RURAL
AL,BATALHA,CENTRO DE SAUDE MUNICIPAL DR ITAMAR CIRYNO,AVPAULO DANTAS,S/N,CENTRO
AL,BATALHA,EQUIPE SAUDE DA FAMILIA ESF II,RUA SAO PEDRO,100,CENTRO
AL,BATALHA,UNIDADE DE SAUDE DA FAMILIA ESFV,TRAVECA MAGINOLIA CORREIA,S/N,CENTRO
AL,BELEM,POSTO DE SAUDE CAROA,SITIO CAROA,S/N,CENTRO
AL,BELEM,UNIDADE DE SAUDE DA FAMILIAE CABECA DANTAS,POVOADO CABECA DANTAS,S/N,ZONA RURAL
AL,BELEM,CENTRO DE SAUDE DE BELEM,RUA DO COMERCIO,S/N,CENTRO
AL,BELO MONTE,UNIDADE DE SAUDE DA FAMILIA OLHO DAGUA NOVO,POVOADO OLHO DAGUA NOVO,S/N,ZONA RURAL
AL,BELO MONTE,UNIDADE DE SAUDE RIACHO DA JACOBINA,POVOADO DE RIACHO DE JACOBINA,S/N,ZONA RURAL
AL,BELO MONTE,POSTO DE SAUDE BARRA DO IPANEMA,POVOADO BARRA DO IPANEMA,S/N,ZONA RURAL
AL,BELO MONTE,CENTRO DE SAUDE MARIA DA CONCEICAO LIMA,RUA BOA VISTA,S/N,CENTRO
AL,BELO MONTE,POSTO DE SAUDE POCO DO MARCO,POVOADO POCO DO MARCO,S/N,ZONA RURAL
AL,BELO MONTE,POSTO DE SAUDE DE RESTINGA,POVOADO DE RESTINGA,S/N,ZONA RURAL
AL,BOCA DA MATA,UBS MIGUEL FELICIANO DA SILVA,AV MAJOR JOSE TENORIO,S/N,VARELA
AL,BOCA DA MATA,UBS ANA MARIA DO ESPIRITO SANTO S LUIZ,FAZ SEBASTIAO LUIZ,S/N,ZONA RURAL
AL,BOCA DA MATA,UBS AURELIO GOMES,POVOADO LAGOA PERI PERI LOTEAMENTO SANTA JOANA,S/N,ZONA RURAL
AL,BOCA DA MATA,UBS MAJOR JOSE TENORIO,VILA VELHA,S/N,CENTRO
AL,BOCA DA MATA,UBS MARIA GENURA DE AMORIM DAMASO,RUA MANOEL ANACLETO,S/N,VARELA
AL,BOCA DA MATA,UBS BERNADETE LEITE MUTIRAO,RUA JOSE PALMEIRA SAMPAIO,S/N,MUTIRAO
AL,BOCA DA MATA,UBS PERI PERI,POVOADO PERI PERI,S/N,NAO CONSTA
AL,BOCA DA MATA,UBS JOSE PALMEIRA FILHO PALMEIRINHA,FAZ PALMEIRINHA,S/N,ZONA RURAL
AL,BOCA DA MATA,UBS ORITENILA BATISTA DE MOURA PRACA PE CICERO,RUA ANTONIO DE BARROS LINS,S/N,CENTRO
AL,BOCA DA MATA,UBS DR CLAUDIO REGIS,RUA JOSE ROBERTO,S/N,CENTRO
AL,BOCA DA MATA,UBS JOSEFA FERREIRA DA COSTA,FAZ OURO BRANCO,S/N,ZONA RURAL
AL,BOCA DA MATA,CENTRO DE REABILITACAO FISICA,RUA PROFESSOR DIVALDO SURUAGY,S/N,CENTRO
AL,BRANQUINHA,CENTRO DE SAUDE FRANCISCO JOSE DA SILVA,RUA DR PRADO OMENA,S/N,CENTRO
AL,BRANQUINHA,POSTO DE SAUDE VANIA MENEZES DE VASCONCELOS,RUA PADRE BERNARDO ROANA,S/N,MUNDO NOVO
AL,BRANQUINHA,POSTO DE SAUDE FLOR DO MUNDAU,ASSENTAMENTO ZUMBI DOS PALMARES,S/N,NAO CONSTA
AL,BRANQUINHA,POSTO DE SAUDE CONJUNTO JOAO LYRA,CONJUNTO RAIMUNDO NONATO,S/N,PLATOR I
AL,BRANQUINHA,POSTO DE SAUDE SANTO ANTONIO DA BOA VISTA,FAZENDA SANTO ANTONIO DA BOA VISTA,S/N,NAO CONSTA
AL,CACIMBINHAS,POSTO DE SAUDE MINADORZINHO,SITIO DE MINADORZINHO,S/N,ZONA RURAL
AL,CACIMBINHAS,POSTO DE SAUDE PONTOS BRANCOS,SITIO PONTOS BRANCOS,S/N,ZONA RURAL
AL,CACIMBINHAS,UNIDADE DE SAUDE DA FAMILIA LUIZ IZIDORO LOPES,POVOADO MINADOR DO LUCIO,S/N,ZONA RURAL
AL,CACIMBINHAS,POSTO DE SAUDE GALINHAS DO MAIA,POVOADO GALINHAS DO MAIA,S/N,ZONA RURAL
AL,CACIMBINHAS,UNIDADE DE SAUDE DA FAMILIA DO TEIXEIRA,SITIO TEIXEIRA,S/N,ZONA RURAL
AL,CACIMBINHAS,CENTRO DE SAUDE DE PROF ZERBINICACIMBINHAS,AV DOMINGOS LEITE,15,CENTRO
AL,CACIMBINHAS,UNIDADE DE SAUDE DA FAMILIA GENESIO TEODORO DE MENEZES,OLIVEIROS BATALHA,S/N,COHAB NOVA
AL,CACIMBINHAS,UNIDADE DE SAUDE DA FAMILIA GILZA CAVALCANTI DUARTE,AV DOMINGOS LEITE,S/N,CENTRO
AL,CACIMBINHAS,UNIDADE DE SAUDE MANUEL FERREIRA NETO,LOTEAMENTO MARIA GONZAGA,S/N,CENTRO
AL,CAJUEIRO,UNIDADE BASICA DE SAUDE DIVA TOLEDO PSF,RUA DO PONTO,1,CENTRO
AL,CAJUEIRO,UNIDADE BASICA JORGE RIBEIRO TOLEDO PSF,AV ANTONIO CARLOS DE MORAES,S/N,CENTRO
AL,CAJUEIRO,UNIDADE BASICA DO SITINHO PSF VII,RUA SARGENTO JOAO SAMPAIO,59,CENTRO
AL,CAJUEIRO,POSTO MEDICO ASSOC DOS ROMEIROS PSF,RUA FLOR DO PARAIBA,S/N,CENTRO
AL,CAJUEIRO,UNIDADE DE SAUDE EVERALDO PEREIRA DA SILVA,CONJ FERNANDO COLLOR,S/N,ZONA RURAL
AL,CAJUEIRO,UNIDADE DE SAUDE LIGIA TOLEDO PSF,AV MANOEL ALVES,S/N,CENTRO
AL,CAJUEIRO,POSTO MED MARIO FERRO DE MOURA PSF,PCA ARTUR MACEDO,S/N,CENTRO
AL,CAJUEIRO,UNIDADE MISTA DR AUGUSTO DIAS CARDOSO,AV ANTONIO CARLOS DE MORAIS,S/N,NAO CONSTA
AL,CAJUEIRO,POSTO DE SAUDE MARTINIANO FERREIRA PSF VI,FAZENDA SERRA DA ROSA,S/N,ZONA RURAL
AL,CAMPESTRE,UNIDADE BASICA DE SAUDE AMAURY ANGELO DA SILVA,RUA MARIA DE TIAO,S/N,CENTRO
AL,CAMPESTRE,UNIDADE BASICA DE SAUDE PSF 3,RUA EPITACIO PESSOA,S/N,CENTRO
AL,CAMPESTRE,CENTRO DE SAUDE DE CAMPESTRE ENG EDSON SANTOS,RUA DO COMERCIO,S/N,CENTRO
AL,CAMPO ALEGRE,UBS 19 VALTEMIR SOUZA SILVA,AVENIDA SENADOR MAXIMO,S/N,CENTRO
AL,CAMPO ALEGRE,UBS 01 E 10 JORGE CORREIA,RUA OSCAR DA CUNHA LIMA,S/N,CENTRO
AL,CAMPO ALEGRE,UBS 11 FRANCISCO BATISTA DOS SANTOS,RUA JOSE VITORINO DE MORAES,S/N,ZONA RURAL
AL,CAMPO ALEGRE,UBS 18 EDJA LIDIANE,CONJUNTO OLIVAL TENORIO,S/N,CENTRO
AL,CAMPO ALEGRE,UBS 08 MANOEL CRISTOVAO,RUA SANTA LUZIA,S/N,ZONA RURAL
AL,CAMPO ALEGRE,UBS 09 OLIVAL TENORIO,RUA AZUL,S/N,USINA PORTO RICO
AL,CAMPO ALEGRE,UBS 04 ANTONIO JOAQUIM MESSIAS,POVOADO CHA DA IMBIRA,S/N,ZONA RURAL
AL,CAMPO ALEGRE,UBS 06 JOSE FIRMINO DA SILVA,RUA DORGIVAL GONCALVES,S/N,LUZIAPOLIS
AL,CAMPO ALEGRE,UBS 05 ALDALIO ANTONIO,RUA SAO SEBASTIAO,44,ZONA RURAL
AL,CAMPO ALEGRE,UBS 02 LUIZ VIEIRA TEMOTEO,RUA LENICE VIEIRA,S/N,CENTRO
AL,CAMPO ALEGRE,UBS 21 EDNALDO MOURA DA SILVA,AVENIDA VALDERMAR FIRMINO,S/N,LUZIAPOLIS
AL,CAMPO ALEGRE,UBS 07 E 20 EXPEDITO SERGIO DOS SANTOS,RUA MANOEL FIRMONO,S/N,ZONA RURAL
AL,CAMPO ALEGRE,USB 17 ROSALVO IVO DA SILVA,RUA SAO FRANCISCO,S/N,BELO HORIZONTE
AL,CAMPO ALEGRE,UBS 14 E 16 JOSE EGIDIO,AV HILDELBRANDO VERISSIMO GUIMARAES,270,CENTRO
AL,CAMPO ALEGRE,UBS 15 LUANA KELLY DOS SANTOS,RUA JOSEFA MARIA,S/N,PIMENTEIRA
AL,CAMPO ALEGRE,UBS 03 ARNOBIO DA ROCHA TAVARES,RUA MANOEL JOAQUIN DA SILVA,S/N,POVOADO PIMENTEIRA
AL,CAMPO GRANDE,POSTO DE SAUDE POVOADO POCO DO BOI,SITIO POCO DO BOI,50,ZONA RURAL
AL,CAMPO GRANDE,CENTRO DE SAUDE DE CAMPO GRANDE,AVENIDA CASTELO BRANCO,85,CENTRO
AL,CAMPO GRANDE,POSTO DE SAUDE SITIO ALTO DA PEDRA,SITIO ALTO DA PEDRA,21,ZONA RURAL
AL,CAMPO GRANDE,POSTO DE SAUDE POVOADO MARABA,POVOADO BOQUEIRAO DA MARABA,96,ZONA RURAL
AL,CAMPO GRANDE,UNIDADE DE SAUDE DA FAMILIA CURRAL FALSO,SITIO CURRAL FALSO,21,ZONA RURAL
AL,CAMPO GRANDE,POSTO DE SAUDE SITIO GRUTA FUNDA,SITIO GRUTA FUNDA,20,ZONA RURAL
AL,CAMPO GRANDE,POSTO DE SAUDE POVOADO POCO DA LAGOA,POVOADO POCO DA LAGOA,81,ZONA RURAL
AL,CANAPI,POSTO DE SAUDE DE AREIAS,SITIO AREIAS,S/N,ZONA RURAL
AL,CANAPI,CENTRO DE SAUDE DE CARIE,POVOADO CARIE,S/N,ZONA RURAL
AL,CANAPI,PACS URBANO,AVENIDA JOAQUIM LEITE,S/N,CENTRO
AL,CANAPI,POSTO DE SAUDE DE FORQUILHA,POVOADO FORQUILHA,S/N,POVOADO FORQUILHA
AL,CANAPI,CENTRO DE SAUDE DE CANAPI,EUPIDIO LOU,S/N,CENTRO
AL,CANAPI,POSTO DE SAUDE DE CACHOEIRA VELHA,SITIO CACHOEIRA GRANDE,S/N,ST CACHOEIRA GRANDE
AL,CANAPI,POSTO DE SAUDE QUEIMADA REDONDA,POVOADO QUEIMADA REDONDA,S/N,ZONA RURAL
AL,CAPELA,PSF 005,FAZENDA BUZIOS,S/N,FAZENDA
AL,CAPELA,PSF 008,RUA GERCINO MOREIRA,S/N,CENTRO
AL,CAPELA,PSF 001,RUA ANTONIO LOPES,S/N,CABOJE
AL,CAPELA,PSF 007,MUTIRAO,S/N,CENTRO
AL,CAPELA,PSF 004,USINA JOAO DE DEUS,64,USINA JOAO DE DEUS
AL,CAPELA,PSF 003,RUA PEDRO PAULINO,S/N,CENTRO
AL,CAPELA,PSF 006,POVOADO DE SANTA EFIGENIA,S/N,POVOADO
AL,CAPELA,PSF 002,VEREADOR MANOEL VIEIRA DE ALMEIDA,57780000,CENTRO
AL,CARNEIROS,CENTRO DE SAUDE MANOEL JOSE DE LIMA,RUA ORMINO JOAQUIM SANTANA,S/N,CENTRO
AL,CARNEIROS,CENTRO DE ESPECIALIDADES CICERA DE ARAUJO AGRA,RUA MARECHAL FLORIANO PEIXOTO,S/N,CENTRO
AL,CARNEIROS,UNIDADE DE SAUDE AGENOR RODRIGUES DOS ANJOS,SITIO FURNAS,S/N,ZONA RURAL
AL,CARNEIROS,UBS JOSIAS VIANA DE OLIVEIRA,RUA ADAO,S/N,CENTRO
AL,CHA PRETA,USF AUDERILDA TENORIO FLORENTINO,AV PAULO TENORIO FLORENTINO,S/N,CENTRO
